date,code,name,investor,buy_krw,sell_krw,net_krw
2026-02-04,005930,삼성전자,외국인,1162032697710.0,2093950792560.0,-931918094850.0
2026-02-04,009150,삼성전기,개인,138163339750.0,86431102500.0,51732237250.0
2026-02-04,009150,삼성전기,금융투자,22816402000.0,17988766000.0,4827636000.0
2026-02-04,009150,삼성전기,연기금,11360123750.0,13887403250.0,-2527279500.0
2026-02-04,009150,삼성전기,외국인,36794572000.0,89526336750.0,-52731764750.0
2026-02-05,000660,SK하이닉스,개인,2567198207000.0,712937606500.0,1854260600500.0
2026-02-05,000660,SK하이닉스,금융투자,219847853500.0,776676959500.0,-556829106000.0
2026-02-05,000660,SK하이닉스,연기금,777640876000.0,761095842500.0,16545033500.0
2026-02-05,000660,SK하이닉스,외국인,935254910500.0,2317418509000.0,-1382163598500.0
2026-02-05,005930,삼성전자,개인,3955680936150.0,816697701000.0,3138983235150.0
2026-02-05,005930,삼성전자,금융투자,270096292200.0,907798288550.0,-637701996350.0
2026-02-05,005930,삼성전자,연기금,849265872750.0,919188972750.0,-69923100000.0
2026-02-05,005930,삼성전자,외국인,784610504136.0,3383558185886.0,-2598947681750.0
2026-02-05,009150,삼성전기,개인,94360919500.0,58875181500.0,35485738000.0
2026-02-05,009150,삼성전기,금융투자,12383349250.0,21420034500.0,-9036685250.0
2026-02-05,009150,삼성전기,연기금,10484653000.0,11608561750.0,-1123908750.0
2026-02-05,009150,삼성전기,외국인,47310816000.0,64661120000.0,-17350304000.0
2026-02-06,000660,SK하이닉스,개인,2098186739000.0,1493200063500.0,604986675500.0
2026-02-06,000660,SK하이닉스,금융투자,475951348000.0,253229050500.0,222722297500.0
2026-02-06,000660,SK하이닉스,연기금,861215148500.0,810537873000.0,50677275500.0
2026-02-06,000660,SK하이닉스,외국인,965484847360.0,1927945497360.0,-962460650000.0
2026-02-06,005930,삼성전자,개인,2339282307100.0,1823999620050.0,515282687050.0
2026-02-06,005930,삼성전자,금융투자,426595367300.0,333922783550.0,92672583750.0
2026-02-06,005930,삼성전자,연기금,1049078576500.0,1009538067800.0,39540508700.0
2026-02-06,005930,삼성전자,외국인,1480064283646.0,2372014341296.0,-891950057650.0
2026-02-06,009150,삼성전기,개인,53599325250.0,70399956000.0,-16800630750.0
2026-02-06,009150,삼성전기,금융투자,19024427750.0,2973769000.0,16050658750.0
